COVID-19 Vaccinations in the United States
Date generated: Sat Aug 07 2021 09:54:28 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4397510,N/A,N/A,4516970,N/A,4316730,N/A,2580535,N/A,2464114,N/A,1985793,N/A,1905139,N/A,2367810,1843400,186300,0,175550,1792563,2547854,1003,737024,1074840,173927,2,736922,994421,173794,2,1811866,N/A,2464114,N/A,0,1731345,0,2580535,190285,0,141920,0,51075,84250,6595,0,344156,0,0,2580397,0,1985743,0,737009,1074822,173910,2,4516796,0,0
Delaware,1352155,138859,175561,1100549,113020,1037487,134705,597555,61.4,564657,73.3,517378,53.1,491395,63.8,727395,558960,65800,0,47645,434883,617187,834,194686,275576,46761,355,194584,249732,46725,354,470617,61.4,564657,73.3,48.3,444670,57.7,597555,179282,94.9,160104,84.8,66092,84900,8922,190,339456,179696,715782,597394,71.1,517337,61.6,194682,275547,46753,355,1100356,131025,161008
Florida,26750805,124551,155097,22962065,106911,21967435,127364,12695299,59.1,12105202,70.2,10609339,49.4,10221046,59.3,14166465,10889840,1694500,0,1120910,8943550,12829244,68361,3917146,5568214,1102187,21792,3915980,5182488,1100869,21709,9507152,59.1,12105202,70.2,44.3,9120177,52.9,12695299,4148060,92.2,3614869,80.4,1774159,1639647,187104,13959,8068541,179407,594814,12687638,67.9,10607832,56.7,3916543,5568059,1101439,21791,22953651,122773,143083
Federated States of Micronesia,78800,76030,97614,57098,55091,57053,70675,34667,33.4,34615,42.9,29895,28.8,29873,37,0,68600,10200,0,7499,49599,0,0,22367,74,7453,1,22362,74,7436,1,22442,33.4,34615,42.9,21.7,22437,27.8,34667,2754,15.7,2519,14.3,1867,6,646,0,4617,26291,448722,34654,39.2,29887,33.8,22366,74,7446,1,57084,64495,89030
Georgia,11964475,112687,147463,9080611,85526,8636411,106444,5011141,47.2,4732706,58.3,4146314,39.1,3977518,49,6275655,5089620,599200,0,241753,3779485,5055439,3934,1689057,2217583,238227,1447,1688492,2049752,237905,1369,3908087,47.2,4732706,58.3,36.8,3739613,46.1,5011141,1260389,83.1,1100094,72.5,608752,461581,29111,650,2433437,160416,788717,5009259,55.7,4145962,46.1,1689011,2217373,238134,1444,9078531,101006,133115
Guam,215770,130164,167116,203753,122915,185796,143901,109003,65.8,99294,76.9,99232,59.9,91021,70.5,122070,74200,19500,0,5808,72426,125519,0,34131,59338,5763,0,34118,51141,5762,0,93469,65.8,99294,76.9,56.4,85259,66,109003,15491,55.2,14486,51.6,6123,7979,384,0,29790,106063,768220,108989,77,99226,70.1,34130,59333,5763,0,203733,143918,152421
Hawaii,2004730,141590,179635,1727517,122011,1627613,145843,1017414,71.9,952526,85.4,761594,53.8,724613,64.9,1116870,806160,81700,0,40246,598966,994540,93765,261931,440781,40796,18086,261346,404556,40642,18069,720798,71.9,952526,85.4,50.9,683971,61.3,1017414,271901,99.9,227430,84.7,95205,122072,8741,1412,488337,181911,746785,1013600,83.7,760087,62.8,261882,439369,40761,18075,1722930,142261,165528
Iowa,3618395,114685,149014,3169029,100442,3005319,123766,1700234,53.9,1609701,66.3,1575957,49.9,1504148,61.9,1922955,1506740,188700,0,135327,1318503,1715070,129,638054,805058,132731,114,637905,733459,132670,114,1443226,53.9,1609701,66.3,45.7,1371478,56.5,1700234,495796,89.7,478882,86.6,253468,212969,12377,68,968333,175120,654375,1700165,63.5,1575934,58.9,638047,805044,132729,114,3168992,118410,135202
Idaho,1776370,99402,132677,1386130,77565,1385415,103477,744281,41.6,742843,55.5,672585,37.6,671743,50.2,934290,741980,100100,0,56616,587930,740112,1472,271678,344158,56339,410,271660,343356,56319,408,616246,41.6,742843,55.5,34.5,615424,46,744281,239190,82.3,225629,77.6,104698,110840,9921,170,463379,159418,611129,744247,49.8,672565,45,271674,344151,56330,410,1386104,92691,118788
Indian Health Svc,1813015,87046,N/A,1504848,72251,1400833,N/A,838523,40.3,777957,N/A,686087,32.9,642728,N/A,807915,930400,74700,0,28014,785985,690849,0,348164,310114,27809,0,347899,267066,27763,0,658278,40.3,777957,N/A,31.6,614965,0,838523,151501,0,127260,0,72478,51948,2834,0,278973,0,0,838164,0,685932,0,348090,310048,27794,0,1504316,0,0
Illinois,15571835,122886,158026,13791502,108836,12867586,130583,7994286,63.1,7432475,75.4,6204409,49,5836194,59.2,8672295,6048840,850700,0,494288,5294074,7987773,15367,2282432,3424851,492000,5126,2276038,3065475,489619,5062,5712409,63.1,7432475,75.4,45.1,5346575,54.3,7994286,1877519,91.9,1546009,75.7,707293,766049,70188,2479,3389416,165885,762118,7968579,73.5,6190058,57.1,2282388,3410571,491973,5126,13751048,126880,143681
Indiana,7123570,105813,137940,6131844,91082,5822274,112742,3218755,47.8,3049155,59,2998649,44.5,2864382,55.5,3846030,2850040,427500,0,230221,2361894,3518075,21654,1116673,1649490,225517,6969,1116439,1515667,225357,6919,2773132,47.8,3049155,59,41.2,2639025,51.1,3218755,914282,84.2,887792,81.8,439491,418396,26504,3401,1836274,169126,656101,3218428,56.4,2998530,52.6,1116660,1649400,225501,6969,6131468,107475,124865
Kansas,3315655,113810,149822,2738798,94010,2590901,117073,1578227,54.2,1487015,67.2,1329793,45.6,1267087,57.3,1715955,1426200,173500,0,95387,1138290,1504298,823,531815,703521,94145,312,531567,641159,94067,294,1235648,54.2,1487015,67.2,42.4,1173020,53,1578227,447616,94.1,386638,81.3,186344,184330,15809,155,803543,168994,697318,1578105,64.4,1329770,54.2,531808,703512,94138,312,2738674,111705,135239
Kentucky,4781485,107024,138002,4256600,95276,4053219,116983,2369450,53,2249806,64.9,2056629,46,1972814,56.9,2402145,2112840,266500,0,177604,1837184,2241208,604,847790,1032842,175114,883,847616,949325,175007,866,1881515,53,2249806,64.9,42.1,1797807,51.9,2369450,660109,87.9,600673,80,274302,290298,35583,490,1214065,161754,637052,2369087,62.2,2056566,54,847778,1032817,175089,882,4255512,111806,125625
Louisiana,4511660,97050,126691,3739351,80437,3601355,101129,2048474,44.1,1959900,55,1735728,37.3,1687472,47.4,2260140,2013420,238100,0,139358,1650098,1948626,1269,744373,858178,132576,601,744042,810379,132454,597,1603152,44.1,1959900,55,34.5,1555018,43.7,2048474,609482,82.2,572861,77.3,272418,280404,19907,132,1189606,160536,608843,2048270,52.2,1735662,44.2,744356,858149,132556,601,3739113,95305,114996
Massachusetts,10064030,146014,181671,9199585,133472,8582600,154929,5044012,73.2,4703217,84.9,4429815,64.3,4151915,74.9,5554470,4064860,444700,0,308573,3632660,5258139,213,1676619,2443735,309370,91,1671354,2172295,308187,79,4120445,73.2,4703217,84.9,59.8,3843728,69.4,5044012,1137975,97.3,1019186,87.2,463500,489438,66221,27,2090846,178807,860665,5027274,83.6,4418353,73.4,1676611,2432288,309363,91,9171125,152427,167267
Maryland,8864730,146629,188171,7280478,120424,6785493,144035,3956513,65.4,3686496,78.3,3585319,59.3,3363230,71.4,4948830,3475500,440400,0,279551,2775941,4215896,9090,1314696,1996342,271612,2669,1314343,1774824,271467,2596,3313707,65.4,3686496,78.3,54.8,3091763,65.6,3956513,897042,93.5,846025,88.2,403136,391410,50720,759,1690218,176175,923991,3956034,76.6,3585149,69.4,1314661,1996236,271583,2669,7280059,141008,171701
Maine,1936410,144055,176781,1681834,125117,1588012,144975,926764,68.9,877339,80.1,862391,64.2,819152,74.8,1000350,832960,103100,0,109693,700623,870903,615,336140,418166,107926,159,336088,375046,107872,146,754465,68.9,877339,80.1,56.1,711280,64.9,926764,273989,96,261110,91.5,119487,119511,22051,61,513239,179917,678811,926668,78.2,862362,72.8,336136,418158,107909,159,1681731,141926,163419
Marshall Islands,51300,87823,112755,36520,62520,36425,80060,20218,34.6,20147,44.3,17505,30,17472,38.4,0,40500,10800,0,1270,35250,0,0,16231,11,1263,0,16204,9,1259,0,16242,34.6,20147,44.3,27.8,16213,35.6,20218,1182,11.9,1023,10.3,951,0,72,0,2134,21562,518339,20197,40.5,17496,35.1,16223,11,1262,0,36491,73152,102839
Michigan,12133830,121498,154711,9867777,98808,9355293,119283,5349896,53.6,5071947,64.7,4906126,49.1,4674052,59.6,6341790,5140240,651800,0,343842,3982044,5540444,1447,1915335,2640666,349340,785,1914776,2409396,349117,763,4556786,53.6,5071947,64.7,45.6,4324935,55.1,5349896,1520017,86.1,1444462,81.8,723739,656426,63804,493,2880859,163184,687313,5349548,62.2,4906032,57.1,1915315,2640606,349327,784,9867390,114804,141173
Minnesota,6775910,120148,156254,6132262,108735,5732119,132184,3353458,59.5,3139411,72.4,3051003,54.1,2866339,66.1,3706170,2720440,349300,0,274900,2366530,3489968,864,1118866,1656226,275604,307,1116814,1474121,275108,296,2775399,59.5,3139411,72.4,49.2,2591231,59.8,3353458,854042,92.8,802944,87.2,339122,417460,46294,68,1602783,174143,736206,3342369,70,3042966,63.7,1118854,1648221,275584,307,6112895,127936,141812
Missouri,6684015,108906,140219,5551708,90457,5282578,110819,3045302,49.6,2889205,60.6,2568927,41.9,2462854,51.7,3630555,2742060,311400,0,188218,2079758,3283150,582,938392,1441246,189147,142,938128,1335648,188954,124,2379780,49.6,2889205,60.6,38.8,2273900,47.7,3045302,881501,83,795088,74.9,363975,396150,34908,55,1680921,158273,629358,3044956,58.2,2568875,49.1,938382,1441220,189131,142,5551357,106029,127662
Northern Mariana Islands,78180,137442,176463,62518,109908,55989,126375,33033,58.1,29352,66.3,30095,52.9,27243,61.5,55380,20200,2600,0,574,8375,53569,0,4025,25491,579,0,4024,22640,579,0,29516,58.1,29352,66.3,51.9,26664,60.2,33033,2836,29.4,2748,28.5,446,2227,75,0,5505,57118,811164,33033,68,30095,62,4025,25491,579,0,62518,128701,160944
Mississippi,2928965,98415,128601,2188644,73539,2111629,92714,1214257,40.8,1163306,51.1,1035655,34.8,1008711,44.3,1478265,1286100,164600,0,64651,967892,1155039,1062,445493,526291,63718,153,445316,499594,63654,147,971937,40.8,1163306,51.1,32.7,945057,41.5,1214257,385089,79.1,354658,72.9,184624,154466,15503,65,719677,147871,601810,1214115,48.2,1035610,41.1,445485,526264,63708,153,2188482,86795,116163
Montana,1144955,107127,136273,979133,91612,935994,111403,532724,49.8,508298,60.5,475689,44.5,457467,54.4,564075,511280,69600,0,41036,434096,503297,704,202817,232746,39886,240,202734,214635,39859,239,435803,49.8,508298,60.5,40.8,417608,49.7,532724,173050,83.8,161320,78.1,77868,74970,8349,133,327446,158618,554627,532610,58,475655,51.8,202801,232733,39881,240,978984,106690,124777
North Carolina,12315180,117421,150417,9832754,93752,9303938,113638,5452158,52,5147251,62.9,4623799,44.1,4404798,53.8,6564840,5103840,646500,0,368159,3852502,5611635,458,1734002,2528051,361674,72,1731328,2312992,360407,71,4262125,52,5147251,62.9,40.6,4044391,49.4,5452158,1484046,84.7,1353713,77.3,653088,658227,42362,36,2843062,162359,703285,5443432,60.6,4618602,51.4,1733909,2522968,361653,72,9818819,109274,137056
North Dakota,746100,97905,128220,668194,87682,640420,110058,350031,45.9,334928,57.6,307221,40.3,296418,50.9,388020,321580,36500,0,30174,281083,356937,0,125748,154308,27164,1,125558,143821,27038,1,280057,45.9,334928,57.6,36.7,269380,46.3,350031,100901,84.2,89892,75,44449,41830,3613,0,195424,163064,622554,349418,54.8,306875,48.2,125743,153970,27161,1,667155,104693,117082
Nebraska,2198350,113645,150744,1963235,101490,1848931,126784,1057678,54.7,992966,68.1,964529,49.9,914932,62.7,1217130,873120,108100,0,72413,765033,1121868,3921,363577,527232,72571,1149,363445,477865,72513,1109,891958,54.7,992966,68.1,46.1,842419,57.8,1057678,279320,89.4,268242,85.8,131376,130261,5876,729,554241,177381,703567,1057440,65.4,964460,59.6,363558,527201,72554,1147,1962934,121363,135918
New Hampshire,1929570,141910,174707,1601825,117806,1508516,136584,886175,65.2,836962,75.8,795930,58.5,755919,68.4,1035630,777240,116700,0,62604,656370,882829,22,317988,414935,62974,33,317741,375222,62923,33,732956,65.2,836962,75.8,53.9,692996,62.7,886175,242048,95.3,222154,87.5,94815,113620,13699,20,437379,172289,760080,885725,73.9,795723,66.4,317888,414853,62949,33,1601203,133593,160989
New Jersey,12211715,137485,175870,10483346,118027,9827719,141536,5930653,66.8,5563459,80.1,5229423,58.9,4934973,71.1,6607215,4998200,606300,0,399567,4178316,5905433,30,1980394,2843730,405194,105,1979915,2550007,404956,95,4824229,66.8,5563459,80.1,54.3,4530017,65.2,5930653,1348576,91.4,1235264,83.7,579686,574400,81145,33,2453227,166260,827613,5929939,77.8,5229277,68.6,1980368,2843664,405140,105,10482623,137597,160293
New Mexico,2476045,118085,152749,2512127,119806,2349307,144930,1389769,66.3,1294153,79.8,1208255,57.6,1134555,70,1259625,1077920,138500,0,89018,1090232,1328241,4636,495993,623460,87411,1391,495646,550249,87282,1378,1120844,66.3,1294153,79.8,53.5,1047273,64.6,1389769,360712,95.5,326207,86.4,151816,155209,18435,747,666963,176629,655722,1389528,77.7,1208181,67.6,495975,623416,87399,1391,2511860,140529,138525
Nevada,3355800,108949,140556,3010544,97740,2856772,119655,1682374,54.6,1588919,66.6,1384243,44.9,1326653,55.6,1862280,1309220,184300,0,137609,1137433,1735487,15,516051,732795,135371,26,515965,675331,135332,25,1248872,54.6,1588919,66.6,40.5,1191321,49.9,1682374,418182,84.3,370210,74.6,175302,172425,22470,13,784869,158249,676611,1682286,64.2,1384207,52.8,516047,732765,135369,26,3010500,114826,127996
New York State,25353785,130330,164365,23200649,119262,21981494,142503,12433570,63.9,11761895,76.3,11206809,57.6,10657594,69.1,13756185,10343700,1253900,0,1023992,9086556,13083367,6734,4227230,6007942,969986,1651,4225761,5460850,969400,1583,10236823,63.9,11761895,76.3,52.6,9688194,62.8,12433570,2894626,87.8,2673460,81.1,1279966,1228745,163983,766,5507328,167084,769195,12432164,74.1,11206236,66.8,4227079,6007646,969874,1637,23198724,138308,151156
Ohio,12976775,111016,142428,11177061,95620,10639022,116770,5886752,50.4,5596578,61.4,5470576,46.8,5228386,57.4,6843795,5477480,655500,0,459176,4512755,6189405,15725,2114779,2908386,442575,4836,2114406,2666835,442387,4758,5028001,50.4,5596578,61.4,43,4785999,52.5,5886752,1740279,85,1664718,81.4,759820,821069,81417,2412,3405787,166435,634152,5886465,58.9,5470504,54.7,2114768,2908343,442557,4836,11176780,111760,129759
Oklahoma,4247800,107350,141370,3515646,88847,3353478,111607,1937675,49,1840433,61.3,1609164,40.7,1546047,51.5,2161680,1863820,222300,0,105816,1527345,1882365,120,677369,827519,104218,58,677164,764670,104158,55,1504946,49,1840433,61.3,38,1441889,48,1937675,547372,86.2,483689,76.2,247670,218376,17624,19,1024468,161300,668806,1937489,58.3,1609113,48.4,677354,827492,104209,58,3515434,105720,127745
Oregon,5820125,137992,173674,4777107,113262,4486702,133884,2582470,61.2,2425080,72.4,2374442,56.3,2241327,66.9,3096705,2413220,310200,0,187671,1858114,2728257,3065,883480,1305212,185073,677,880737,1175634,184305,651,2189369,61.2,2425080,72.4,51.9,2057022,61.4,2582470,673566,87.9,639732,83.5,291166,302207,46036,323,1264499,165061,759728,2574424,70.6,2368720,64.9,883476,1299497,185071,676,4763125,130576,159553
Pennsylvania,16471155,128661,162000,14722968,115005,13965957,137360,8486611,66.3,8041167,79.1,6767007,52.9,6460538,63.5,8335035,7075420,1060700,0,581248,6028269,8112861,590,2638702,3544156,583669,480,2636831,3239940,583315,452,6183338,66.3,8041167,79.1,48.3,5877223,57.8,8486611,2485542,99.9,2016424,84.3,954217,982118,79884,205,4456927,186220,688202,8483391,76.6,6765673,61.1,2638571,3543001,583621,480,14718458,132820,148636
Puerto Rico,4273120,133799,163036,4014026,125686,3735638,142529,2218046,69.5,2061677,78.7,1931522,60.5,1806613,68.9,2223420,1859700,190000,0,115433,1699696,2198546,351,789038,1027415,115030,39,788704,902989,114882,38,1816492,69.5,2061677,78.7,56.9,1691731,64.5,2218046,567007,99.9,508644,93.7,258187,230303,20147,7,1052846,193920,787051,2216953,77.8,1931202,67.8,788986,1027190,114987,39,4012658,140879,150024
Rhode Island,1568545,148065,183484,1340258,126516,1260699,147473,722429,68.2,679004,79.4,656423,62,620416,72.6,862965,643980,61600,0,48770,522674,768362,452,247062,360428,48837,96,247004,324499,48819,94,607586,68.2,679004,79.4,57.4,571597,66.9,722429,181134,96.8,171296,91.6,78286,87022,5960,28,348986,186578,838588,722297,77.9,656385,70.8,247058,360396,48836,95,1340146,144492,169117
Republic of Palau,28650,159993,205421,26674,148959,25822,185144,15476,86.4,14622,99.9,13627,76.1,13627,97.7,4050,20800,3800,0,2198,23600,876,0,11395,31,2201,0,11395,31,2201,0,11426,86.4,14622,99.9,63.8,11426,81.9,15476,1712,56.4,1678,55.3,1454,9,215,0,3129,103131,944298,15476,99.9,13627,89.1,11395,31,2201,0,26674,174431,187353
South Carolina,5650395,109744,139947,4470251,86823,4285910,106152,2451923,47.6,2342570,58,2109553,41,2033101,50.4,2864415,2472680,313300,0,160662,1797860,2510642,1087,800589,1151126,157590,248,798748,1077083,157022,248,1951963,47.6,2342570,58,37.9,1876079,46.5,2451923,809431,86.4,724736,77.3,309377,388990,26205,164,1516226,161813,603016,2447007,55.4,2106704,47.7,800504,1148406,157546,248,4462416,100960,127838
South Dakota,1004165,113509,150424,860188,97234,817411,122448,473190,53.5,447384,67,418517,47.3,401740,60.2,498645,446120,59400,0,28603,368098,463450,37,175608,214206,28685,18,175561,197494,28667,18,389832,53.5,447384,67,44.1,373073,55.9,473190,140643,92.6,131682,86.7,67785,59874,4012,11,264140,173924,661196,473158,64.1,418506,56.7,175606,214198,28684,18,860159,116537,136047
Tennessee,6853330,100354,128843,5839810,85513,5614659,105556,3113971,45.6,2982116,56.1,2693633,39.4,2604297,49,3645090,2840440,367800,0,183524,2333316,3302563,20407,1040453,1470430,176837,5913,1040088,1381679,176661,5869,2516796,45.6,2982116,56.1,36.9,2427636,45.6,3113971,930456,81.4,847864,74.2,426065,388425,30101,3273,1828349,159906,599385,3113370,53.4,2693489,46.2,1040436,1470341,176799,5913,5839099,100061,117441
Texas,34087745,117561,157842,27862096,96090,26049720,120622,15287249,52.7,14247717,66,12858582,44.3,12005730,55.6,18597705,13595440,1894600,0,1125954,11100728,15634634,780,4957996,6802952,1096912,722,4629154,6351742,1024159,674,11767288,52.7,14247717,66,40.6,11100083,51.4,15287249,3214909,86.1,2846891,76.2,1097700,1506174,242856,160,6086012,162979,912846,15282663,63.4,12856011,53.3,4957005,6801592,1096693,722,27856634,115582,141436
